Judge_Point_ID,Common_Point_ID,OHRC_tile_id,TMC2_patch_id,IIRS_row,IIRS_col,Latitude,Longitude_360,Consistency_Score,Max_Sensor_Separation_deg,Three_Sensor_Status,Visualization
JUDGE_0098,CP_000147,1057,6632,145,238,60.942227387688966,355.4108714000394,0.9380745538981364,0.0015244460590339,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0098_three_sensor.png
JUDGE_0099,CP_000150,10021,12193,342,238,60.41427963975278,355.4091736473961,0.9376917578933224,0.0016127066503234,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0099_three_sensor.png
JUDGE_0100,CP_000152,13628,14435,421,241,60.20206579470128,355.4256069533614,0.9376464338148196,0.0015923305157909,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0100_three_sensor.png
JUDGE_0101,CP_000155,7450,10615,286,235,60.56460027325763,355.3922533165608,0.9373359710785952,0.00131697442333,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0101_three_sensor.png
JUDGE_0102,CP_000156,9744,12025,336,232,60.43016106984586,355.3746157554592,0.9373085753927214,0.0016429889700412,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0102_three_sensor.png
JUDGE_0103,CP_000158,1324,6797,151,235,60.92629045029488,355.39347589323216,0.9371139371474346,0.0015204208277743,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0103_three_sensor.png
JUDGE_0104,CP_000159,1449,6877,154,226,60.91827411392702,355.34081742540485,0.9369128209815828,0.0015139731937203,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0104_three_sensor.png
JUDGE_0105,CP_000160,780,6464,139,232,60.958111066544255,355.3758463949566,0.9367336610510806,0.0014716414839984,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0105_three_sensor.png
JUDGE_0106,CP_000161,9217,11697,324,244,60.46207268652864,355.44414645540786,0.9366184899423902,0.0016627570000053,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0106_three_sensor.png
JUDGE_0107,CP_000163,13763,14518,424,241,60.194105338461306,355.4253353678303,0.936450944039532,0.0016900602008878,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0107_three_sensor.png
JUDGE_0108,CP_000166,3029,7874,189,229,60.82455528078651,355.3582841642222,0.9358532455691058,0.0015938929083469,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0108_three_sensor.png
JUDGE_0109,CP_000168,13351,14267,415,235,60.21794636403792,355.3912345518861,0.9356587350984008,0.0016069603624182,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0109_three_sensor.png
JUDGE_0110,CP_000169,12672,13851,400,232,60.25772209234066,355.374205566928,0.93547922425922,0.0016191373069356,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0110_three_sensor.png
JUDGE_0111,CP_000171,1826,7131,163,241,60.89537004732543,355.4280229567484,0.9351977840786982,0.0017003124601077,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0111_three_sensor.png
JUDGE_0112,CP_000172,8274,11117,304,247,60.51691383016876,355.4610283253378,0.9351505225738632,0.0017106097771053,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0112_three_sensor.png
JUDGE_0113,CP_000174,6282,9869,260,238,60.63447790750575,355.40952068025405,0.934853668423734,0.0015251629385054,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0113_three_sensor.png
JUDGE_0114,CP_000177,9345,11778,327,238,60.45407989875006,355.40877519423907,0.93474083039333,0.0017297003486974,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0114_three_sensor.png
JUDGE_0115,CP_000178,114,6052,125,241,60.99707221175387,355.4278522234792,0.9346431139385484,0.0015378999183927,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0115_three_sensor.png
JUDGE_0116,CP_000180,5593,9450,245,226,60.674196112217295,355.3402315527463,0.9342896466952504,0.0017001745623164,SAME,/kaggle/working/TMC2_OHRC_FINAL/images/judge_library/JUDGE_0116_three_sensor.png
