Common_Point_ID,Patch_ID,Dataset_Index,Patch_Row,Patch_Col,Scan_Start,Scan_End,Pixel_Start,Pixel_End,OHRC_tile_id,IIRS_row,IIRS_col,Common_Latitude,Common_Longitude,Latitude,Longitude_360,OHRC_lat,OHRC_lon,IIRS_lat,IIRS_lon,OHRC_distance_deg,IIRS_distance_deg,OHRC_IIRS_distance_deg,Max_Sensor_Separation_deg,Consistency_Score,ThreeSensor_Common
CP_000001,8211,8211,98,77,4704,4751,3696,3743,3586,201,244,60.792809607098455,355.4449138701305,60.7927454205,355.44493325612507,60.79300838248481,355.4447094773134,60.792675,355.4451,0.00034529112646435045,0.00017996312668311276,0.0005126048693804862,0.0005126048693804862,0.9806192001011447,True
CP_000002,8128,8128,97,77,4656,4703,3696,3743,3451,198,244,60.80076887672481,355.4451835874318,60.80061767349999,355.44497277455,60.80095348304162,355.4454485932141,60.800735,355.44513,0.0005823842797829994,0.00019597624808024832,0.0003865435311406953,0.0005823842797829994,0.9781588957651632,True
CP_000003,7963,7963,95,78,4560,4607,3744,3791,3184,192,247,60.81670450497585,355.46255709896144,60.816375649,355.46258711975,60.81679755831036,355.46262079822804,60.81694,355.46246,0.0004232513509149673,0.0005780580856464126,0.00021250460576967452,0.0005780580856464126,0.9776015984002817,True
CP_000004,8376,8376,100,76,4800,4847,3648,3695,3853,207,241,60.776873630726165,355.4275648898847,60.77698674250001,355.427343332525,60.77716396535232,355.42755592697284,60.77647,355.4278,0.0002767748879959499,0.00068644484964825,0.0007339511614412926,0.0007339511614412926,0.9696109742434151,True
CP_000005,7960,7960,95,75,4560,4607,3600,3647,3174,192,238,60.816654097150774,355.41029221107675,60.8163300721225,355.40998558295,60.8169513111267,355.4103075541865,60.81668,355.41058,0.0006997166408344235,0.0006932431629105755,0.000386343988256085,0.0006997166408344235,0.9690122445895563,True
CP_000006,8046,8046,96,78,4608,4655,3744,3791,3319,195,247,60.80874635553948,355.4622951293497,60.8085028735,355.46254405775005,60.80885252612628,355.4618779513927,60.808884,355.46246,0.000752299566914006,0.0003892463995106953,0.0005862551723933988,0.000752299566914006,0.9689987411783487,True
CP_000007,6051,6051,72,75,3456,3503,3600,3647,111,125,238,60.99705309761723,355.4109381245991,60.997394160000006,355.41068813215,60.99709154886734,355.4110849818815,60.996674,355.41104,0.0004990623277666468,0.0008024518098925115,0.0004202454839835399,0.0008024518098925115,0.9684473571058099,True
CP_000008,8544,8544,102,78,4896,4943,3744,3791,4130,213,247,60.76098946074327,355.4624134331369,60.7612727005,355.462286019125,60.761167117276656,355.46264348927,60.76053,355.4623,0.0003727367994337944,0.0007445482541962946,0.0007200262751583822,0.0007445482541962946,0.9677267552126904,True
CP_000009,6054,6054,72,78,3456,3503,3744,3791,121,125,247,60.997100344991175,355.4634344924689,60.997439236162506,355.46358014575003,60.996932630109846,355.4636801187659,60.99693,355.46304,0.0005163761192179015,0.0007405847086054951,0.0006369152811303732,0.0007405847086054951,0.9670692397805092,True
CP_000010,6137,6137,73,78,3504,3551,3744,3791,256,128,247,60.989142087543065,355.46316433210086,60.989566205,355.463539298125,60.98898752955303,355.4629410028652,60.988873,355.463,0.0008323595922657388,0.0008709180195561121,0.000135518067725714,0.0008709180195561121,0.9661285787612041,True
CP_000011,11615,11612,139,78,6672,6719,3744,3791,9085,321,247,60.47004975410818,355.4611159116552,60.469976922,355.46070720675004,60.46977820580307,355.4612452645436,60.470394,355.4614,0.0005735802612862918,0.000804666773119376,0.0006339305361416054,0.000804666773119376,0.9647894457041669,True
CP_000012,10453,10453,125,78,6000,6047,3744,3791,7193,280,247,60.580590586158955,355.4614702663269,60.5801959148625,355.46131911475,60.58103614024522,355.4613607271995,60.58054,355.46173,0.0008412551870380896,0.0005364742323140773,0.0006192896739266405,0.0008412551870380896,0.9645215714960388,True
CP_000013,7795,7795,93,76,4464,4511,3648,3695,2907,186,241,60.83259276001502,355.4276569347533,60.83209315443749,355.42758351375005,60.83279556872279,355.4274698100413,60.83289,355.42792,0.0007115577008038602,0.0008635917016911243,0.0004574304167749925,0.0008635917016911243,0.9637978559879862,True
CP_000014,11863,11858,142,77,6816,6863,3696,3743,9487,330,244,60.44615578857284,355.44361420184333,60.446348251202494,355.4432458155749,60.445986454603904,355.443474475502,60.446133,355.44412,0.0004279978282664375,0.0009026238906509677,0.0006641319889459647,0.0009026238906509677,0.9637827800185708,True
CP_000015,9373,9373,112,77,5376,5423,3696,3743,5478,242,244,60.68226996072579,355.4446566594356,60.682529619,355.44439405755,60.68174699901722,355.44478221958485,60.682533,355.4448,0.0008735924694750468,0.0003996602453030601,0.000786348969500822,0.0008735924694750468,0.9633350730780753,True
CP_000016,11698,11694,140,78,6720,6767,3744,3791,9220,324,247,60.46209065568791,355.4608424422275,60.4621049775,355.46066762475,60.4618333103645,355.46049495583884,60.462334,355.46136,0.00032189685520043966,0.0007336774735234051,0.0010034460913758026,0.0010034460913758026,0.9617191686065569,True
CP_000017,11780,11775,141,77,6768,6815,3696,3743,9352,327,244,60.4541148983832,355.4438758220251,60.4542201615,355.44328409835003,60.45393141841522,355.44422105327214,60.454193,355.44412,0.000980437195883411,0.0008386523331899404,0.0002797044503320586,0.000980437195883411,0.9615096103088898,True
CP_000018,8627,8627,103,78,4944,4991,3744,3791,4265,216,247,60.75302924983813,355.46214133845075,60.7533975325,355.462244343125,60.7532221078835,355.46189939878974,60.75247,355.46228,0.00038698887646521096,0.000930117619694313,0.0008447364182355506,0.000930117619694313,0.9613504933238827,True
CP_000019,8293,8293,99,76,4752,4799,3648,3695,3718,204,241,60.78483254147678,355.42782141674843,60.7848578505,355.42737752815003,60.78510913428188,355.4282913119389,60.78453,355.4278,0.000947704780941215,0.0005307469382891008,0.000761954473017728,0.000947704780941215,0.9601486128351343,True
CP_000020,9205,9205,110,75,5280,5327,3600,3647,5201,236,238,60.698155914547534,355.4098697008971,60.6982428873225,355.40952352695,60.69774234289237,355.4097767378507,60.698483,355.4103,0.0005609460640314201,0.0008210566020427197,0.0009115826204661642,0.0009115826204661642,0.9599354011624192,True
CP_000021,10618,10618,127,77,6096,6143,3696,3743,7460,286,244,60.564654450265664,355.4441923652615,60.56443826249999,355.44382983055,60.56519021891222,355.44428925742204,60.564335,355.44446,0.0008811988973330528,0.0006366292558579219,0.0008718368588204639,0.0008811988973330528,0.9591142011331938,True
CP_000022,6134,6134,73,75,3504,3551,3600,3647,246,128,238,60.98909094488965,355.41067631878906,60.98952111500001,355.41065991175,60.98914622040135,355.4103583024297,60.988605,355.411,0.00048115916511988553,0.0009805274934290588,0.0008473824296435593,0.0009805274934290588,0.9588800427297305,True
CP_000023,9456,9456,113,77,5424,5471,3696,3743,5613,245,244,60.674309011315124,355.4443870784544,60.6746560957625,355.444357435375,60.67380194404224,355.4440406163943,60.67447,355.44476,0.0009110156023702761,0.00044680939326184214,0.0009833916775382808,0.0009833916775382808,0.9584423956161415,True
CP_000024,11695,11691,140,75,6720,6767,3600,3647,9210,324,238,60.4620377523143,355.4090299884577,60.46205827922249,355.40862375495,60.461976883238,355.4087372065168,60.46208,355.40973,0.00013963009810859603,0.0011054265691803073,0.0009969482322394298,0.0011054265691803073,0.958157106641142,True
CP_000025,7712,7712,92,76,4416,4463,3648,3695,2772,183,241,60.84055002757018,355.4279246002531,60.8399631247575,355.42762185135,60.84074076044327,355.42820395136243,60.840946,355.42795,0.0009713689743024916,0.001035762378210548,0.0003282019013304656,0.001035762378210548,0.9578613045993244,True
CP_000026,9621,9621,115,76,5520,5567,3648,3695,5880,251,241,60.6583757132434,355.42707533995537,60.65889494299999,355.426828247575,60.657956592482165,355.4269380554944,60.658276,355.42746,0.0009447536575637731,0.0008844963922311345,0.0006114728295291538,0.0009447536575637731,0.9576815432889021,True
CP_000027,8125,8125,97,74,4656,4703,3552,3599,3441,198,235,60.80071462218704,355.39294640736404,60.800564827,355.3923989707249,60.801106780039625,355.3931602220703,60.800472,355.39328,0.0009344606508801115,0.0008859079779009732,0.0006457321886631212,0.0009344606508801115,0.9574929816459461,True
CP_000028,9370,9370,112,74,5376,5423,3552,3599,5468,242,235,60.68221572904127,355.39256429640636,60.68247644499999,355.39200712295,60.68189687737771,355.39268039517526,60.682274,355.393,0.0008883659820591835,0.0010185961494777074,0.0004977236417110438,0.0010185961494777074,0.9572089759659295,True
