Common_Point_ID,OHRC_tile_id,Common_Latitude,Common_Longitude,Consistency_Score
CP_000964,7321,60.57259874863868,355.4259903585865,0.8826180629781541
CP_000965,1587,60.910336210271545,355.3574603136867,0.8825657053406046
CP_000966,11497,60.327560939902924,355.3563688222207,0.8824971647392009
CP_000967,10436,60.39135213231297,355.4601118313485,0.8822765620317082
CP_000968,5445,60.682061911127484,355.27160992730177,0.8820745172389499
CP_000969,13756,60.194067017825496,355.39044918940834,0.8818404763783994
CP_000970,13766,60.19412637765303,355.44192311769484,0.8817060119783644
CP_000971,1,61.00400918332974,355.3060998907454,0.8812442449971352
CP_000972,4248,60.75294234881549,355.3745890925051,0.8807915994116984
CP_000973,3981,60.76888219783331,355.39191218465857,0.8807758221508217
CP_000974,10149,60.407180305228536,355.37385129067167,0.8807498447972784
CP_000975,12021,60.29649813529674,355.27051114413257,0.8802235639463133
CP_000976,12160,60.28856004224978,355.28860784530116,0.8800801666489226
CP_000977,9615,60.43816157644839,355.4082424126247,0.8800364680988512
CP_000978,10838,60.367457373717706,355.44263220546577,0.8800183592036701
CP_000979,6130,60.6432321411888,355.3224720229489,0.8799891283601754
CP_000980,12170,60.28863286642295,355.3401942832747,0.8799436833587008
CP_000981,2527,60.8554676860193,355.3237516759987,0.8796954434945731
CP_000982,6642,60.61237737184714,355.4088202914054,0.8794886473299213
CP_000983,8926,60.47787682592593,355.3392997623016,0.8794307491387809
CP_000984,6120,60.64316150198899,355.2704364592523,0.8793972816960425
CP_000985,12790,60.24964956790854,355.28749295352213,0.879354344713473
CP_000986,13746,60.19400225206374,355.33898776270604,0.8793157900062403
CP_000987,11729,60.31256685803834,355.39093128415306,0.8791884792294473
CP_000988,797,60.95819307807639,355.4638425938097,0.8790518041488734
CP_000989,4660,60.729994454548184,355.40917936780687,0.8790325391813381
CP_000990,5329,60.69016000683274,355.3742975242588,0.8789728931346078
CP_000991,8257,60.517719174076355,355.37398283119325,0.8789676184576662
