Judge_Point_ID,Common_Point_ID,Patch_ID,OHRC_tile_id,IIRS_row,IIRS_col,Common_Latitude,Common_Longitude,OHRC_distance_deg,IIRS_distance_deg,OHRC_IIRS_distance_deg,Max_Sensor_Separation_deg,Consistency_Score
JUDGE_0001,CP_000001,8211,3586,201,244,60.792809607098455,355.4449138701305,0.00034529112646435045,0.00017996312668311276,0.0005126048693804862,0.0005126048693804862,0.9806192001011447
JUDGE_0002,CP_000002,8128,3451,198,244,60.80076887672481,355.4451835874318,0.0005823842797829994,0.00019597624808024832,0.0003865435311406953,0.0005823842797829994,0.9781588957651632
JUDGE_0003,CP_000003,7963,3184,192,247,60.81670450497585,355.46255709896144,0.0004232513509149673,0.0005780580856464126,0.00021250460576967452,0.0005780580856464126,0.9776015984002817
JUDGE_0004,CP_000004,8376,3853,207,241,60.776873630726165,355.4275648898847,0.0002767748879959499,0.00068644484964825,0.0007339511614412926,0.0007339511614412926,0.9696109742434151
JUDGE_0005,CP_000005,7960,3174,192,238,60.816654097150774,355.41029221107675,0.0006997166408344235,0.0006932431629105755,0.000386343988256085,0.0006997166408344235,0.9690122445895563
JUDGE_0006,CP_000007,6051,111,125,238,60.99705309761723,355.4109381245991,0.0004990623277666468,0.0008024518098925115,0.0004202454839835399,0.0008024518098925115,0.9684473571058099
JUDGE_0007,CP_000008,8544,4130,213,247,60.76098946074327,355.4624134331369,0.0003727367994337944,0.0007445482541962946,0.0007200262751583822,0.0007445482541962946,0.9677267552126904
JUDGE_0008,CP_000009,6054,121,125,247,60.997100344991175,355.4634344924689,0.0005163761192179015,0.0007405847086054951,0.0006369152811303732,0.0007405847086054951,0.9670692397805092
JUDGE_0009,CP_000011,11615,9085,321,247,60.47004975410818,355.4611159116552,0.0005735802612862918,0.000804666773119376,0.0006339305361416054,0.000804666773119376,0.9647894457041669
JUDGE_0010,CP_000012,10453,7193,280,247,60.580590586158955,355.4614702663269,0.0008412551870380896,0.0005364742323140773,0.0006192896739266405,0.0008412551870380896,0.9645215714960388
JUDGE_0011,CP_000013,7795,2907,186,241,60.83259276001502,355.4276569347533,0.0007115577008038602,0.0008635917016911243,0.0004574304167749925,0.0008635917016911243,0.9637978559879862
JUDGE_0012,CP_000014,11863,9487,330,244,60.44615578857284,355.44361420184333,0.0004279978282664375,0.0009026238906509677,0.0006641319889459647,0.0009026238906509677,0.9637827800185708
JUDGE_0013,CP_000015,9373,5478,242,244,60.68226996072579,355.4446566594356,0.0008735924694750468,0.0003996602453030601,0.000786348969500822,0.0008735924694750468,0.9633350730780753
JUDGE_0014,CP_000018,8627,4265,216,247,60.75302924983813,355.46214133845075,0.00038698887646521096,0.000930117619694313,0.0008447364182355506,0.000930117619694313,0.9613504933238827
JUDGE_0015,CP_000019,8293,3718,204,241,60.78483254147678,355.42782141674843,0.000947704780941215,0.0005307469382891008,0.000761954473017728,0.000947704780941215,0.9601486128351343
JUDGE_0016,CP_000020,9205,5201,236,238,60.698155914547534,355.4098697008971,0.0005609460640314201,0.0008210566020427197,0.0009115826204661642,0.0009115826204661642,0.9599354011624192
JUDGE_0017,CP_000021,10618,7460,286,244,60.564654450265664,355.4441923652615,0.0008811988973330528,0.0006366292558579219,0.0008718368588204639,0.0008811988973330528,0.9591142011331938
JUDGE_0018,CP_000023,9456,5613,245,244,60.674309011315124,355.4443870784544,0.0009110156023702761,0.00044680939326184214,0.0009833916775382808,0.0009833916775382808,0.9584423956161415
JUDGE_0019,CP_000024,11695,9210,324,238,60.4620377523143,355.4090299884577,0.00013963009810859603,0.0011054265691803073,0.0009969482322394298,0.0011054265691803073,0.958157106641142
JUDGE_0020,CP_000025,7712,2772,183,241,60.84055002757018,355.4279246002531,0.0009713689743024916,0.001035762378210548,0.0003282019013304656,0.001035762378210548,0.9578613045993244
JUDGE_0021,CP_000026,9621,5880,251,241,60.6583757132434,355.42707533995537,0.0009447536575637731,0.0008844963922311345,0.0006114728295291538,0.0009447536575637731,0.9576815432889021
JUDGE_0022,CP_000027,8125,3441,198,235,60.80071462218704,355.39294640736404,0.0009344606508801115,0.0008859079779009732,0.0006457321886631212,0.0009344606508801115,0.9574929816459461
JUDGE_0023,CP_000028,9370,5468,242,235,60.68221572904127,355.39256429640636,0.0008883659820591835,0.0010185961494777074,0.0004977236417110438,0.0010185961494777074,0.9572089759659295
JUDGE_0024,CP_000030,11447,8808,315,241,60.48593466651173,355.42652278611996,0.0004187809081916696,0.0011270773327536347,0.0007670380965984819,0.0011270773327536347,0.9570003291212822
JUDGE_0025,CP_000031,7880,3049,189,247,60.8246628119122,355.4628281910993,0.0008867538779545298,0.0007598063305190707,0.0009061790412261406,0.0009061790412261406,0.9567635213634265
JUDGE_0026,CP_000033,6302,523,134,244,60.97320615084673,355.44571730791125,0.0006765334495106583,0.0011595495603168458,0.00048339801766952086,0.0011595495603168458,0.9565121176523267
JUDGE_0027,CP_000034,9208,5211,236,247,60.69820631395269,355.46197945595895,0.0006976714086015003,0.00047670405827553207,0.0011623482205218936,0.0011623482205218936,0.9562616011509898
JUDGE_0028,CP_000036,9538,5745,248,241,60.66633362456765,355.4273441061501,0.0011850299170648268,0.0007605325720107439,0.00046886809084188664,0.0011850299170648268,0.9550067437877214
JUDGE_0029,CP_000037,8208,3576,201,235,60.792756539077544,355.39268499490413,0.000472935292058729,0.0009202380441708732,0.001105473633642853,0.001105473633642853,0.9549484924560587
JUDGE_0030,CP_000038,12196,10031,342,247,60.41433560242873,355.460926723417,0.001046591340550085,0.0012021413937409707,0.00017485032900808095,0.0012021413937409707,0.9546784442869987
JUDGE_0031,CP_000039,12028,9754,336,241,60.43022013495327,355.42638379009605,0.0007790285494482297,0.0012105873470610743,0.00043344244876767415,0.0012105873470610743,0.9545794288457744
JUDGE_0032,CP_000040,6219,388,131,244,60.98116346296583,355.44598516961764,0.000809487261572608,0.000986174079577129,0.0008654345922353016,0.000986174079577129,0.9544091248379729
JUDGE_0033,CP_000042,7877,3039,189,238,60.82461249229686,355.41055501053165,0.0012373314785850843,0.0008040611829083006,0.000452794089681971,0.0012373314785850843,0.9533560221279945
JUDGE_0034,CP_000043,9789,6157,257,247,60.64248813979989,355.4618260259837,0.0012421509599905738,0.0009084739134267082,0.0003644130648189042,0.0012421509599905738,0.9530351387721655
JUDGE_0035,CP_000045,14022,12959,406,247,60.24189790162439,355.4601544928167,0.0008832806076127871,0.0012793844635369113,0.00039892278829823204,0.0012793844635369113,0.9519878459626895
JUDGE_0036,CP_000046,9122,5066,233,238,60.706112535753086,355.4101337744485,0.001048279132785667,0.0008923754946600808,0.0008647135571063302,0.001048279132785667,0.9518294085332782
JUDGE_0037,CP_000048,14105,13094,409,247,60.2339402347911,355.4598790399875,0.00024890980375169846,0.001248728982376841,0.0011167924085700178,0.001248728982376841,0.9517104977865576
JUDGE_0038,CP_000049,9453,5603,245,235,60.6742585112248,355.39231326930076,0.0006520905240589759,0.0010911621614162043,0.0010880335436141786,0.0010911621614162043,0.9509693951186804
JUDGE_0039,CP_000050,11777,9342,327,235,60.45405698816753,355.3920825584642,0.0012243219191672872,0.0012841908331394972,0.00015064809970969734,0.0012841908331394972,0.9507081039355503
JUDGE_0040,CP_000051,10536,7328,283,247,60.57263128884474,355.46119639599584,0.0010143823198319334,0.00045228859186681756,0.0012478836983418097,0.0012478836983418097,0.9504695211452204
JUDGE_0041,CP_000052,9040,4934,230,241,60.71409294160939,355.4271868612341,0.0004506355467729062,0.0008785097186758847,0.0013168897557164117,0.0013168897557164117,0.9504634402889798
JUDGE_0042,CP_000053,6880,1459,154,235,60.91833147391818,355.39321670891877,0.0011077167649610343,0.0007229429644587115,0.001028354743428725,0.0011077167649610343,0.9504158595273812
JUDGE_0043,CP_000055,11282,8541,309,244,60.50187045730132,355.4437702610183,0.00016056580800260188,0.001323684505887692,0.0011948110296218343,0.001323684505887692,0.9499656768825022
JUDGE_0044,CP_000057,9037,4924,230,232,60.71403682597042,355.37505198994694,0.00023359131930005925,0.0012636373449565713,0.0012620925330772573,0.0012636373449565713,0.9497130182213693
JUDGE_0045,CP_000058,11530,8943,318,241,60.47797492669847,355.4262631308565,0.0002919721667276905,0.0010654172422003459,0.001334262532997344,0.001334262532997344,0.949676069063466
JUDGE_0046,CP_000059,10701,7595,289,244,60.55669410379477,355.44392064097536,0.0007212679432514674,0.0007034835872979651,0.0013146708123117393,0.0013146708123117393,0.9493238355603386
JUDGE_0047,CP_000060,8541,4120,213,238,60.760937192384375,355.4102170157091,0.0006515534454456086,0.0011830229675116057,0.001054847697728825,0.0011830229675116057,0.9490944115225295
JUDGE_0048,CP_000061,8957,4799,227,241,60.722051125530605,355.4274548108305,0.0006299004278154003,0.001024754703279226,0.001211443543687298,0.001211443543687298,0.9490307222691347
JUDGE_0049,CP_000062,9535,5735,248,232,60.6662782777636,355.3752691603035,0.0012741605481231863,0.001351341411270995,0.00010604502178261656,0.001351341411270995,0.9489638950944026
