Common_Point_ID,Patch_ID,Common_Latitude,Common_Longitude,Consistency_Score
CP_000001,8211,60.792809607098455,355.4449138701305,0.9806192001011447
CP_000002,8128,60.80076887672481,355.4451835874318,0.9781588957651632
CP_000003,7963,60.81670450497585,355.46255709896144,0.9776015984002817
CP_000004,8376,60.776873630726165,355.4275648898847,0.9696109742434151
CP_000005,7960,60.816654097150774,355.41029221107675,0.9690122445895563
CP_000006,8046,60.80874635553948,355.4622951293497,0.9689987411783487
CP_000007,6051,60.99705309761723,355.4109381245991,0.9684473571058099
CP_000008,8544,60.76098946074327,355.4624134331369,0.9677267552126904
CP_000009,6054,60.997100344991175,355.4634344924689,0.9670692397805092
CP_000010,6137,60.989142087543065,355.46316433210086,0.9661285787612041
CP_000011,11615,60.47004975410818,355.4611159116552,0.9647894457041669
CP_000012,10453,60.580590586158955,355.4614702663269,0.9645215714960388
CP_000013,7795,60.83259276001502,355.4276569347533,0.9637978559879862
CP_000014,11863,60.44615578857284,355.44361420184333,0.9637827800185708
CP_000015,9373,60.68226996072579,355.4446566594356,0.9633350730780753
CP_000016,11698,60.46209065568791,355.4608424422275,0.9617191686065569
CP_000017,11780,60.4541148983832,355.4438758220251,0.9615096103088898
CP_000018,8627,60.75302924983813,355.46214133845075,0.9613504933238827
CP_000019,8293,60.78483254147678,355.42782141674843,0.9601486128351343
CP_000020,9205,60.698155914547534,355.4098697008971,0.9599354011624192
CP_000021,10618,60.564654450265664,355.4441923652615,0.9591142011331938
CP_000022,6134,60.98909094488965,355.41067631878906,0.9588800427297305
CP_000023,9456,60.674309011315124,355.4443870784544,0.9584423956161415
CP_000024,11695,60.4620377523143,355.4090299884577,0.958157106641142
CP_000025,7712,60.84055002757018,355.4279246002531,0.9578613045993244
CP_000026,9621,60.6583757132434,355.42707533995537,0.9576815432889021
CP_000027,8125,60.80071462218704,355.39294640736404,0.9574929816459461
CP_000028,9370,60.68221572904127,355.39256429640636,0.9572089759659295
CP_000029,11612,60.469996937796815,355.40929516520237,0.9570279782405192
CP_000030,11447,60.48593466651173,355.42652278611996,0.9570003291212822
CP_000031,7880,60.8246628119122,355.4628281910993,0.9567635213634265
CP_000032,8043,60.808695859504695,355.4100385341479,0.9566338590766404
CP_000033,6302,60.97320615084673,355.44571730791125,0.9565121176523267
CP_000034,9208,60.69820631395269,355.46197945595895,0.9562616011509898
CP_000035,10370,60.588550052319015,355.4617437283246,0.9557623700955425
CP_000036,9538,60.66633362456765,355.4273441061501,0.9550067437877214
CP_000037,8208,60.792756539077544,355.39268499490413,0.9549484924560587
CP_000038,12196,60.41433560242873,355.460926723417,0.9546784442869987
CP_000039,12028,60.43022013495327,355.42638379009605,0.9545794288457744
CP_000040,6219,60.98116346296583,355.44598516961764,0.9544091248379729
CP_000041,8294,60.78485167737117,355.4446545853636,0.9537956943539388
CP_000042,7877,60.82461249229686,355.41055501053165,0.9533560221279945
CP_000043,9789,60.64248813979989,355.4618260259837,0.9530351387721655
CP_000044,8459,60.76891631820797,355.4272982954367,0.9522588775372148
CP_000045,14022,60.24189790162439,355.4601544928167,0.9519878459626895
CP_000046,9122,60.706112535753086,355.4101337744485,0.9518294085332782
CP_000047,8045,60.8087295095836,355.44545365352474,0.9517283720321668
CP_000048,14105,60.2339402347911,355.4598790399875,0.9517104977865576
CP_000049,9453,60.6742585112248,355.39231326930076,0.9509693951186804
CP_000050,11777,60.45405698816753,355.3920825584642,0.9507081039355503
CP_000051,10536,60.57263128884474,355.46119639599584,0.9504695211452204
CP_000052,9040,60.71409294160939,355.4271868612341,0.9504634402889798
CP_000053,6880,60.91833147391818,355.39321670891877,0.9504158595273812
CP_000054,11860,60.446099078493205,355.39181890109785,0.9502494087640615
CP_000055,11282,60.50187045730132,355.4437702610183,0.9499656768825022
CP_000056,8461,60.76894866773589,355.462675417047,0.9498680024625228
CP_000057,9037,60.71403682597042,355.37505198994694,0.9497130182213693
CP_000058,11530,60.47797492669847,355.4262631308565,0.949676069063466
CP_000059,10701,60.55669410379477,355.44392064097536,0.9493238355603386
CP_000060,8541,60.760937192384375,355.4102170157091,0.9490944115225295
CP_000061,8957,60.722051125530605,355.4274548108305,0.9490307222691347
CP_000062,9535,60.6662782777636,355.3752691603035,0.9489638950944026
CP_000063,7878,60.82463213791667,355.42740109844635,0.9487373372562566
CP_000064,14270,60.218004199223856,355.4427327908216,0.9483448786072884
CP_000065,9291,60.690248038210285,355.46170753472455,0.9483098200185986
CP_000066,11034,60.524873135886004,355.4612914434411,0.9481732545678164
CP_000067,10285,60.5964773227386,355.426783588806,0.9479268821007694
CP_000068,8624,60.75297689326951,355.4099531993059,0.9478519761676607
CP_000069,14187,60.2259627084089,355.4430052473976,0.9478119751085777
CP_000070,6966,60.91042546760554,355.4453503255613,0.9477946248210929
CP_000071,10202,60.60443277706103,355.4270511291656,0.9476730264993589
CP_000072,9290,60.69023080239063,355.44492595462515,0.9475832440225803
CP_000073,10450,60.5805389466362,355.40951381226023,0.9472736274974284
CP_000074,10037,60.62037042453377,355.44433426926906,0.9471340868068692
CP_000075,7630,60.848526335499905,355.44504626513555,0.9470375307744723
CP_000076,11945,60.438177692574634,355.4266541959756,0.9469424070630774
CP_000077,9786,60.64243715142666,355.4097844033538,0.946915700045792
CP_000078,9288,60.69019627902964,355.40960607234564,0.9464889127474404
CP_000079,7709,60.840495247481776,355.3756364593194,0.9464532883429891
CP_000080,8129,60.80078574547162,355.46202243721183,0.9464329856098437
CP_000081,9125,60.70616540142752,355.4622518221934,0.9462495420478707
CP_000082,12279,60.40637695387117,355.4606520374411,0.9460359752423992
CP_000083,11444,60.48587872465805,355.3746870959679,0.9460201688569772
CP_000084,6963,60.910371091588225,355.3929571996054,0.9459788951915249
CP_000085,11364,60.49389508073657,355.4267921389096,0.945858061338808
CP_000086,7048,60.902446957718446,355.42819824709863,0.9458346760134315
CP_000087,11532,60.47801071859422,355.4613914110828,0.9458073546187207
CP_000088,9202,60.6980961146292,355.3577624325019,0.9457173547225282
CP_000089,11946,60.4381979395474,355.44334215966063,0.9456645228289217
CP_000090,11527,60.477916354145236,355.3744254460696,0.9456584866598845
CP_000091,7792,60.83253790379689,355.3753770865026,0.9455997231020461
CP_000092,6715,60.934267622023185,355.41061848220716,0.9453153580923044
CP_000093,8709,60.745051004099,355.44505873036655,0.9452031442545867
CP_000094,6216,60.98111364237328,355.39350638284714,0.9451284223326976
CP_000095,6883,60.91838322502676,355.4456080949067,0.9451061106976448
CP_000096,10535,60.5726136753183,355.44446380454764,0.9450442183399081
CP_000097,12111,60.422261415891164,355.42612323528425,0.944943956037308
CP_000098,8954,60.721996367214615,355.3753116468603,0.9448958546457955
CP_000099,7128,60.89443172448872,355.3755758907343,0.9447740977893541
CP_000100,13854,60.257784240921985,355.42575415126277,0.9445465719333594
CP_000101,9954,60.62655280427043,355.4445212804697,0.9441161195791765
CP_000102,11279,60.5018168884346,355.39190704069915,0.9439131167827592
CP_000103,7544,60.856433041205946,355.39299944952126,0.9435762063209242
CP_000104,8373,60.776819442410726,355.3753431464232,0.9434691782597577
CP_000105,10783,60.54871750069037,355.4269244883756,0.9434361555002979
CP_000106,9706,60.650446009778655,355.46208825282383,0.9432778907981761
CP_000107,9119,60.706056629816736,355.35800804084437,0.9432554860466998
CP_000108,10951,60.53283109003751,355.46156450032043,0.9430936094299451
CP_000109,9287,60.69017666267583,355.3928252989129,0.9429303085133963
CP_000110,8789,60.73793444068223,355.39262750538916,0.9429018086098643
CP_000111,14019,60.2418451941458,355.4086206699728,0.942749226787394
CP_000112,7045,60.90239406620117,355.3758243214767,0.9427068105428195
CP_000113,14102,60.23388489422377,355.4083534498266,0.9427057048281919
CP_000114,11692,60.46197677792079,355.3572196582961,0.9424805626487762
CP_000115,9618,60.658317746250624,355.3750188606179,0.9424257028641868
CP_000116,11609,60.46993731881876,355.35747658708283,0.9421882778384411
CP_000117,9872,60.63453152722019,355.46155411820104,0.9420685950434586
CP_000118,6712,60.9342128069398,355.35820169832726,0.9417232456648164
CP_000119,7957,60.816596805910706,355.35802969025036,0.9417002167363532
CP_000120,13937,60.24982364855921,355.4254937536145,0.9416025380794515
CP_000121,6385,60.96524498319703,355.4454588179892,0.9414679824348715
CP_000122,10866,60.540760381565825,355.4266553901344,0.9414602000734663
CP_000123,11361,60.493836683161106,355.37493798354836,0.9411827444130639
CP_000124,6048,60.996996366165966,355.3584339485282,0.9411380753754746
CP_000125,6220,60.98118102268429,355.46289453560786,0.9407288033316039
CP_000126,11199,60.509831449449415,355.44404211816936,0.9406572295586294
